Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
92,PT-LAVCA,442.675000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Port Lavaca Calhoun Co - PLARC - US 87/TX 35,,,,
93,RND-ROCK,147.160000,+,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Round Rock Williamson Co - SADRC - I-35,,,,
94,SA-N-147,147.160000,+,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,San Antonio North Bexar Co - SADRC - US 281/I-35,,,,
95,SA-N-442,442.750000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,San Antonio North Bexar Co - SADRC - US 281/I-35,,,,
96,SA-MED,146.820000,-,0.600000,Tone,179.9,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,San Antonio Med Ctr Bexar Co - SARO - I-10/410/US 281,,,,
97,SA-SW,443.200000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,San Antonio Southwest Bexar Co - SADRC - I-35/I-10,,,,
98,SELMA,441.812500,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Selma Bexar Co - SADRC - I-35/TX 1518,,,,
99,VICTORIA,443.800000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,Victoria Co - VARC - US 59/77/87,,,,
100,W5LCR,444.750000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5LCR near Shiner, Lavaca County, Texas OPEN YSF Reflector US-CRHRC-TX #62426",,,,
101,KC5QLT,146.680000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KC5QLT near Shiner, Lavaca County, Texas OPEN",,,,
102,W5DWT,146.640000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5DWT near Cuero, Dewitt County, Texas OPEN",,,,
103,KC5GPG,147.500000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KC5GPG near Seguin, Guadalupe County, Texas OPEN",,,,
104,W5DOC,145.200000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5DOC near Seguin, Guadalupe County, Texas OPEN Advisory Note:  According to the TXVHFFM Society, the use of even-numbered channels in the 145 MHz sub-band was never formally voted on or approved. In addition, similar odd-channel repeater pairings in the 146–148 MHz range are inconsistent with the established coordination standards, which have remained unchanged since the 1990s.  These standards are based on 5 kHz FM deviation spacing, and deviations from them can result in spectral overlap and interference concerns.  This listing reflects a repeater configuration with a 145.200 MHz output and a 144.600 MHz input, which falls outside the historically coordinated channel structure for this band.  Information is provided for advisory and informational purposes only.",,,,
105,K5OQ,145.350000,-,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5OQ near Smithville, Bastrop County, Texas OPEN",,,,
106,W5TAA,145.562500,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"W5TAA near San Marcos, Hays County, Texas OPEN",,,,
107,H130/21,441.562500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"AC5PS near Mustang Ridge, Travis County, Texas OPEN",,,,
108,DtrHspN,145.130000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5DSC near Victoria, Victoria County, Texas OPEN WIRES-X linked with Calhoun county 147.02 and and DeWitt county 146.64.",,,,
109,KE5LOT,147.050000,+,0.600000,TSQL,88.5,114.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"KE5LOT near Kyle, Hays County, Texas OPEN",,,,
110,WB5LVI,147.220000,+,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WB5LVI near New Braunfels, Comal County, Texas OPEN",,,,
111,WB5LVI,443.850000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WB5LVI near New Braunfels, Comal County, Texas OPEN",,,,
112,KB5HTB,442.062500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"KB5HTB near Austin, Travis County, Texas OPEN",,,,
113,CitznHsp,443.800000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5DSC near Victoria, Victoria County, Texas OPEN",,,,
114,WD5EMS,145.300000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"WD5EMS near Canyon Lake, Comal County, Texas OPEN",,,,
115,K5NKK,444.025000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5NKK near Live Oak, Bexar County, Texas OPEN",,,,
116,W5NZK,441.812500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"W5NZK near Live Oak, Bexar County, Texas OPEN YSF Reflector US SADRC ID:84398 Wries-X Room SADRC 40324",,,,
117,KN5C,441.500000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KN5C near Austin, Travis County, Texas OPEN",,,,
118,NU5DE,441.575000,+,5.000000,Tone,100.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"NU5DE near McDade, Bastrop County, Texas OPEN TVHFS Listing (as of 31 December 2022): 441.5750 MCDADE BASTROP N5UDE 100.0ae 4. (See: http://www.txvhffm.org/repeaters/repeaters.php). RB: Current custodian(s) for N5KF 441.57500 McDade repeater (48-931): N5KF -- RRC.",,,,
119,LkTexana,442.925000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5LCR near Edna, Jackson County, Texas OPEN YSF Reflector 62462 - US-CRHRC-TX",,,,
120,UTAustin,442.150000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KA5C near Austin, Travis County, Texas OPEN 25 watts, 200 feet. Default WIRES-X room is TEXAS-SADRC #40324.",,,,
121,N8IQT,147.160000,+,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8IQT near San Antonio, Bexar County, Texas OPEN",,,,
122,N8IQT,442.750000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8IQT near San Antonio, Bexar County, Texas OPEN Wires X Room 40324 , YSF Reflector US SADRC. Backup is FCS 003 Room 46.",,,,
123,N8IQT,444.300000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N8IQT near San Antonio, Bexar County, Texas OPEN Texas SADRC Texas Fusion Network - www.SADRC.net for more information",,,,
124,KG5IWQ,440.625000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KG5IWQ near Bulverde, Comal County, Texas OPEN",,,,
125,N5XO,147.240000,+,0.600000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5XO near Jourdanton, Atascosa County, Texas OPEN",,,,
126,WS5DRC,146.780000,-,0.600000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WS5DRC near San Antonio, Bexar County, Texas OPEN YSF Reflector US SADRC ID:84398; Wires-X Room SADRC 40324; FCS 3 Room 46",,,,
127,N5YBG,441.375000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5YBG near San Antonio, Bexar County, Texas OPEN Repeat Link to the LADO - Los Amigos Digital Operators Laredo repeater N5PKL on 441.375 Austin repeater KB5HTB on 145.170 PL 88.5",,,,
128,KG5FEC,444.662500,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"KG5FEC near San Antonio, Bexar County, Texas OPEN WIRES-X Node 11275 DIGITAL ONLY, IN AND OUT",,,,
129,PickleRC,146.880000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5KA near Austin, Travis County, Texas OPEN",,,,
130,WS5DRC,440.275000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WS5DRC near Blanco, Blanco County, Texas OPEN",,,,
131,Crthouse,147.020000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5KTC near Port Lavaca, Calhoun County, Texas OPEN Wiresx connected to 145.13 fusion repeater in Victoria.",,,,
132,WS5DRC,443.200000,+,5.000000,Tone,114.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WS5DRC near San Antonio, Bexar County, Texas OPEN YSF Reflector US SADRC ID:84398 Wires-X Room SADRC 40324",,,,
133,Crthouse,442.675000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5KTC near Port Lavaca, Calhoun County, Texas OPEN",,,,
134,RC-SA,443.025000,+,5.000000,TSQL,88.5,82.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5XO near San Antonio, Bexar County, Texas OPEN",,,,
135,WD5EMS,145.330000,-,0.600000,Tone,100.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WD5EMS near Round Rock, Williamson County, Texas OPEN",,,,
136,StDavids,444.875000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"WD5EMS near Round Rock, Williamson County, Texas OPEN digitally linked to Yaesu Fusion Texas I-35 room",,,,
137,KF5KOI,145.280000,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KF5KOI near Blanco, Blanco County, Texas OPEN",,,,
138,AA5RO,444.850000,+,5.000000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"AA5RO near San Antonio, Bexar County, Texas OPEN Hwy 151 and Westover Hill.",,,,
139,PolCmCtr,443.250000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5AUM near Brenham, Washington County, Texas OPEN",,,,
140,W5SFA,444.875000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5SFA near Bellville, Austin County, Texas OPEN",,,,
141,WJ1D,147.040000,+,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WJ1D near Wharton, Wharton County, Texas OPEN",,,,
142,KB5TX,146.640000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KB5TX near Boerne, Kendall County, Texas OPEN",,,,
143,KB5TX,444.900000,+,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KB5TX near Boerne, Kendall County, Texas OPEN",,,,
144,RC-PC,147.120000,+,0.600000,DTCS,88.5,88.5,131,NN,023,Tone->Tone,DN,5.00,,50W,"N5XO near Pipe Creek, Bandera County, Texas OPEN",,,,
145,Airport,444.250000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5AMG near Georgetown, Williamson County, Texas OPEN Good coverage @ 10-20 miles",,,,
146,W5MWI,145.310000,-,0.600000,DTCS,88.5,88.5,032,NN,023,Tone->Tone,DN,5.00,,50W,"W5MWI near Bandera, Bandera County, Texas OPEN Yaesu Fusion Repeater - AHS mode",,,,
147,W5MWI,443.300000,+,5.000000,DTCS,88.5,88.5,032,NN,023,Tone->Tone,DN,5.00,,50W,"W5MWI near Bandera, Bandera County, Texas OPEN Yaesu Fusion Repeater - AHSMode",,,,
148,LnghrnCv,147.020000,+,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5HLA near Burnet, Burnet County, Texas OPEN",,,,
149,LnghrnCv,443.250000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5HLA near Burnet, Burnet County, Texas OPEN",,,,
150,W5FBG,145.470000,-,0.600000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5FBG near Fredericksburg, Gillespie County, Texas OPEN",,,,
151,K7UD,444.175000,+,5.000000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"K7UD near Fredericksburg, Gillespie County, Texas OPEN",,,,
152,SkylnTwr,146.680000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5BCS near College Station, Brazos County, Texas OPEN",,,,
153,MethHosp,146.760000,-,0.600000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5FBG near Fredericksburg, Gillespie County, Texas OPEN",,,,
154,WD5EMS,145.190000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WD5EMS near Belton, Bell County, Texas OPEN YSF Digital only, linked to WIRES-X Texas I-35 room.",,,,
155,LkStlhse,440.500000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WD5EMS near Belton, Bell County, Texas OPEN Linked to Yaesu System Fusion Texas I-35 room",,,,
156,HighSchl,145.350000,-,0.600000,Tone,156.7,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KG5PIV near Belton, Bell County, Texas OPEN",,,,
157,W5LM,146.820000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5LM near Temple, Bell County, Texas OPEN  SKYWARN repeater for Bell County",,,,
158,K7RHT,147.040000,+,0.600000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"K7RHT near Kerrville, Kerr County, Texas OPEN",,,,
159,,444.450000,+,5.000000,TSQL,88.5,131.8,023,NN,023,Tone->Tone,DN,5.00,,50W,"near Kerrville, Kerr County, Texas OPEN",,,,
160,K5CRA,145.230000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5CRA near Copperas Cove, Coryell County, Texas OPEN",,,,
161,WD5EMS,145.330000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WD5EMS near Lampasas, Lampasas County, Texas OPEN Analog stand alone 88.5 Digital linked into Texas I-35 room",,,,
162,K5ZY,145.290000,-,0.600000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5ZY near Iola, Grimes County, Texas OPEN",,,,
163,N5CRP,146.880000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5CRP near Corpus Christi, Nueces County, Texas OPEN",,,,
164,WD5EMS,442.700000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WD5EMS near Troy, Bell County, Texas OPEN Texas I-35 Fusion Room",,,,
165,WMontgPk,146.600000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WA5EOC near Montgomery, Montgomery County, Texas OPEN Advisory: Under FCC Part 97 rules, certain portions of the 2-meter band are not authorized for repeater input or output operation. This includes 145.500–146.000 MHz, which is reserved for simplex and other non-repeater uses.  As a result, 146.000 MHz may not be used as a repeater transmit or receive frequency under current FCC regulations. Listings shown here are provided for informational purposes only and may reflect historical, coordination, or reporting discrepancies.  If you are a repeater trustee or coordinator and believe this listing needs correction or clarification, please submit an update so the record can be reviewed.",,,,
166,W5BSA,444.550000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5BSA near Houston, Harris County, Texas OPEN Digital only. No analog.",,,,
167,KD5ARN,442.300000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KD5ARN near Eddy, McLennan County, Texas OPEN",,,,
168,WA5AIR,146.620000,-,0.600000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"WA5AIR near Alvin, Brazoria County, Texas OPEN",,,,
169,KD5GR,147.120000,+,0.600000,TSQL,88.5,167.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"KD5GR near Friendswood, Galveston County, Texas OPEN",,,,
170,KD5GR,444.875000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"KD5GR near Friendswood, Galveston County, Texas OPEN",,,,
171,WT-Norm,444.875000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"WD5EMS near Normangee, Leon County, Texas OPEN Texas I-35 Room: YSF 3 Room 30 (The repeater moved as of 12/1/2020)",,,,
172,W5SI,147.280000,+,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5SI near Kingwood, Montgomery County, Texas OPEN",,,,
173,FireSt29,443.550000,+,5.000000,Tone,103.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5SI near Atascocita, Harris County, Texas OPEN",,,,
174,W5SI,145.430000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5SI near Kingwood, Harris County, Texas OPEN",,,,
175,W5SI,444.825000,+,5.000000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5SI near Kingwood, Harris County, Texas OPEN",,,,
176,KA5QDG,147.260000,+,0.600000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"KA5QDG near La Porte, Harris County, Texas OPEN",,,,
177,FrdHrtBr,444.975000,+,5.000000,TSQL,88.5,167.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"NE5TX near Baytown, Harris County, Texas OPEN",,,,
178,KC5QIH,443.550000,+,5.000000,TSQL,88.5,123.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"KC5QIH near Waco, McLennan County, Texas OPEN",,,,
179,N5HLC,146.780000,-,0.600000,TSQL,88.5,103.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5HLC near Centerville, Leon County, Texas OPEN",,,,
180,K5KCL,441.375000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5KCL near China Spring, McLennan County, Texas OPEN",,,,
181,SmHoustn,146.640000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5HVL near Huntsville, Walker County, Texas OPEN",,,,
