Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
216,K5WHG,443.250000,+,5.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5WHG near Weatherford, Parker County, Texas OPEN",,,,
217,WA5JRS,441.375000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"WA5JRS near Grand Prairie, Tarrant County, Texas OPEN",,,,
218,W5FA,444.900000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5FA near Fort Worth, Tarrant County, Texas OPEN",,,,
219,GaltRnch,146.780000,-,0.600000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5GRC near Comstock, Val Verde County, Texas OPEN Open repeater based out of Galt Ranching, Val Verde County, TX.",,,,
220,GaltRnch,440.525000,+,5.000000,TSQL,88.5,77.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5GRC near Comstock, Val Verde County, Texas OPEN Open repeater at Galt Ranching, Val Verde County, TX.",,,,
221,K5VZC,444.800000,+,5.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5VZC near CANTON, Van Zandt County, Texas OPEN YSF DG-ID IS 48 ON AMCOMM NETWORK",,,,
222,K5NRH,441.750000,+,5.000000,TSQL,88.5,100.0,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5NRH near North Richland Hills, Tarrant County, Texas OPEN",,,,
223,W5DCR,146.960000,-,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5DCR near Dallas, Dallas County, Texas OPEN RACES back-up repeater.",,,,
224,W5FC,442.425000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5FC near Dallas, Dallas County, Texas OPEN",,,,
225,FireSt1,442.825000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5VAV near Bedford, Tarrant County, Texas OPEN",,,,
226,K0BRN,145.270000,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K0BRN near Watauga, Tarrant County, Texas OPEN",,,,
227,W5MCT,443.100000,+,5.000000,TSQL,88.5,136.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"W5MCT near Tyler, Smith County, Texas OPEN",,,,
228,WB5IDM,146.800000,-,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"WB5IDM near Azle, Tarrant County, Texas OPEN",,,,
229,N5EOC,444.700000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5EOC near Keller, Tarrant County, Texas OPEN",,,,
230,K5MPH,442.275000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5MPH near Brownsville, Cameron County, Texas OPEN SDRC",,,,
231,N5EOC,145.400000,-,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5EOC near Grapevine, Tarrant County, Texas OPEN",,,,
232,N5EOC,443.875000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5EOC near Grapevine, Tarrant County, Texas OPEN",,,,
233,N5RCA,146.780000,-,0.600000,Tone,131.8,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5RCA near Henderson, Rusk County, Texas OPEN",,,,
234,N5ZW,442.275000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5ZW near Dallas, Dallas County, Texas OPEN",,,,
235,UTD,442.800000,+,5.000000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5BSA near Plano, Collin County, Texas OPEN",,,,
236,PaliCnII,444.725000,+,5.000000,DTCS,88.5,88.5,624,NN,023,Tone->Tone,DN,5.00,,50W,"K5RWK near Richardson, Dallas County, Texas OPEN In Full Auto . WIRES-X. Our Yaesu Fusion C4FM UHF repeater is linked to WIRES-X. The node number is 30372. Our WIRES-X connectivity allows an operator to link to any other WIRES-X node or room through the internet. This allows you with your HT or mobile station to communicate with people in other cities, states or indeed other countries. The default room that our Fusion node is connected to is the Texas–Nexus, which is a wide variety of repeaters around the state, that gets visitors from all around the world.<br>  So long as the repeater is not in use, feel free to link it to other nodes or rooms, make contacts in other countries. The room list is available here. It will return to its default configuration after a period of inactivity. Or, feel free to join us through WIRES-X, room 30372.",,,,
237,NWtrTwr,442.837500,+,5.000000,TSQL,88.5,162.2,023,NN,023,Tone->Tone,DN,12.50,,50W,"K5RKW near Fate, Rockwall County, Texas OPEN",,,,
238,KI5WIZ,442.050000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"KI5WIZ near Wylie, Collin County, Texas OPEN",,,,
239,NK5CC,146.680000,-,0.600000,TSQL,88.5,107.2,023,NN,023,Tone->Tone,DN,5.00,,50W,"NK5CC near Copper Canyon, Denton County, Texas OPEN",,,,
240,K5LRK,443.300000,+,5.000000,Tone,110.9,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"K5LRK near The Colony, Denton County, Texas OPEN",,,,
241,N5VGQ,147.300000,+,0.600000,TSQL,88.5,151.4,023,NN,023,Tone->Tone,DN,5.00,,50W,"N5VGQ near Kilgore, Rusk County, Texas OPEN",,,,
242,K5LFD,442.212500,+,5.000000,Cross,88.5,91.5,023,NN,023,->Tone,DN,12.50,,50W,"K5LFD near Lucas, Collin County, Texas OPEN",,,,
243,WA5GP,147.000000,+,0.600000,TSQL,88.5,110.9,023,NN,023,Tone->Tone,DN,5.00,,50W,"WA5GP near Graham, Young County, Texas OPEN",,,,
244,StarkHal,443.525000,+,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"WA5LIE near Denton, Denton County, Texas OPEN C4FM digital only.",,,,
